Code,Area,Unem_WhiteUK_2015,Unem_WhitenotUK_2015,Unem_MinorUK_2015,Unem_MinornotUK_2015,EInActive_WhiteUK_2015,EInActive_WhitenotUK_2015,EInActive_MinorUK_2015,EInActive_MinornotUK_2015
00AB,Barking and Dagenham,9,0,10.1,16.1,24.7,23.9,29.7,26.5
00AC,Barnet,7.2,3.4,17.8,10.9,21,24.1,23.5,33.7
00AD,Bexley,7.4,14.8,0,0,18.5,11.2,28.8,18.8
00AE,Brent,0,5.7,16,7.3,17.2,16.7,25.3,30.3
00AF,Bromley,4.2,5.2,16.6,4.5,20.6,10,25,24.5
00AG,Camden,2.6,0,10.9,6.8,24.4,20.4,39.3,36.2
00AH,Croydon,2.1,0,6.8,6.3,22.3,15.9,19.1,23.8
00AJ,Ealing,3.3,2.5,6.9,10,16.8,14,21.4,33
00AK,Enfield,3.3,0,0,6.8,18.9,32,31.2,23.6
00AL,Greenwich,7.4,0,21.7,8.1,19.1,14.2,29.6,26.9
00AM,Hackney,3.8,6,10.4,6.3,17.8,22.4,29.5,41.5
00AN,Hammersmith and Fulham,3.7,3.5,11.8,5.6,18.2,12.8,29,22.8
00AP,Haringey,1.6,4.2,10.3,12.7,19.4,17.2,30.8,36.8
00AQ,Harrow,3.2,0,5.1,6.4,15,20.2,24.8,26.9
00AR,Havering,5.1,0,0,10.7,20,18.3,12.8,19.8
00AS,Hillingdon,4.6,0,13.4,5.9,22.8,11.7,22.5,24.9
00AT,Hounslow,5.3,0,11.8,2.9,21.1,14,22.5,26.9
00AU,Islington,2.8,2.9,11.7,6.6,17.8,17.1,26.1,40.7
00AW,Kensington and Chelsea,2.5,2.4,12.1,6.6,28.1,26.6,27.1,32.5
00AX,Kingston upon Thames,4.4,4.6,0,4.3,20.6,16.7,25,33.1
00AY,Lambeth,5.1,3.6,9.8,0,13.2,6.3,33.3,22.8
00AZ,Lewisham,4.6,10.6,5.9,4.4,17.3,24.7,20.9,18.6
00BA,Merton,2.9,4.4,0,11.4,15,12.9,19.9,27.1
00BB,Newham,10.4,3.1,14.3,9.2,17.6,20.5,36,29.8
00BC,Redbridge,4.4,0,22.1,4.4,18.1,23.9,26.5,31.3
00BD,Richmond upon Thames,4.3,4.2,0,0,19,9.6,27.7,18.4
00BE,Southwark,3.7,4.1,22.7,7.4,17.4,11.8,27.9,21.3
00BF,Sutton,5.6,7.5,0,5.2,17.6,14.3,25.1,15.8
00BG,Tower Hamlets,5.9,4.6,12.7,11.3,16,6.8,19.6,37.2
00BH,Waltham Forest,5.1,0,8.6,7.9,11.9,18.5,26.3,37.5
00BJ,Wandsworth,2.9,5.7,16.8,10.7,14,12.6,19.2,30.9
00BK,Westminster,8.9,6.5,26.9,7.1,18.4,16.7,49,38
