"","Borough","GSS_Code","MajorText","Date","count_by_borough"
"1","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-04-01,225
"2","Barking and Dagenham","E09000002","Burglary",2010-04-01,167
"3","Barking and Dagenham","E09000002","Drug Offences",2010-04-01,85
"4","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-04-01,101
"5","Barking and Dagenham","E09000002","Robbery",2010-04-01,58
"6","Barking and Dagenham","E09000002","Sexual Offences",2010-04-01,13
"7","Barking and Dagenham","E09000002","Theft and Handling",2010-04-01,568
"8","Barking and Dagenham","E09000002","Violence Against the Person",2010-04-01,429
"9","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-05-01,204
"10","Barking and Dagenham","E09000002","Burglary",2010-05-01,160
"11","Barking and Dagenham","E09000002","Drug Offences",2010-05-01,71
"12","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-05-01,64
"13","Barking and Dagenham","E09000002","Robbery",2010-05-01,86
"14","Barking and Dagenham","E09000002","Sexual Offences",2010-05-01,16
"15","Barking and Dagenham","E09000002","Theft and Handling",2010-05-01,575
"16","Barking and Dagenham","E09000002","Violence Against the Person",2010-05-01,455
"17","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-06-01,240
"18","Barking and Dagenham","E09000002","Burglary",2010-06-01,182
"19","Barking and Dagenham","E09000002","Drug Offences",2010-06-01,87
"20","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-06-01,64
"21","Barking and Dagenham","E09000002","Robbery",2010-06-01,73
"22","Barking and Dagenham","E09000002","Sexual Offences",2010-06-01,32
"23","Barking and Dagenham","E09000002","Theft and Handling",2010-06-01,583
"24","Barking and Dagenham","E09000002","Violence Against the Person",2010-06-01,455
"25","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-07-01,236
"26","Barking and Dagenham","E09000002","Burglary",2010-07-01,183
"27","Barking and Dagenham","E09000002","Drug Offences",2010-07-01,82
"28","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-07-01,82
"29","Barking and Dagenham","E09000002","Robbery",2010-07-01,76
"30","Barking and Dagenham","E09000002","Sexual Offences",2010-07-01,15
"31","Barking and Dagenham","E09000002","Theft and Handling",2010-07-01,620
"32","Barking and Dagenham","E09000002","Violence Against the Person",2010-07-01,427
"33","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-08-01,213
"34","Barking and Dagenham","E09000002","Burglary",2010-08-01,199
"35","Barking and Dagenham","E09000002","Drug Offences",2010-08-01,107
"36","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-08-01,71
"37","Barking and Dagenham","E09000002","Robbery",2010-08-01,70
"38","Barking and Dagenham","E09000002","Sexual Offences",2010-08-01,17
"39","Barking and Dagenham","E09000002","Theft and Handling",2010-08-01,543
"40","Barking and Dagenham","E09000002","Violence Against the Person",2010-08-01,404
"41","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-09-01,177
"42","Barking and Dagenham","E09000002","Burglary",2010-09-01,187
"43","Barking and Dagenham","E09000002","Drug Offences",2010-09-01,96
"44","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-09-01,79
"45","Barking and Dagenham","E09000002","Robbery",2010-09-01,63
"46","Barking and Dagenham","E09000002","Sexual Offences",2010-09-01,21
"47","Barking and Dagenham","E09000002","Theft and Handling",2010-09-01,577
"48","Barking and Dagenham","E09000002","Violence Against the Person",2010-09-01,363
"49","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-10-01,213
"50","Barking and Dagenham","E09000002","Burglary",2010-10-01,169
"51","Barking and Dagenham","E09000002","Drug Offences",2010-10-01,122
"52","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-10-01,93
"53","Barking and Dagenham","E09000002","Robbery",2010-10-01,72
"54","Barking and Dagenham","E09000002","Sexual Offences",2010-10-01,13
"55","Barking and Dagenham","E09000002","Theft and Handling",2010-10-01,523
"56","Barking and Dagenham","E09000002","Violence Against the Person",2010-10-01,341
"57","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-11-01,191
"58","Barking and Dagenham","E09000002","Burglary",2010-11-01,202
"59","Barking and Dagenham","E09000002","Drug Offences",2010-11-01,119
"60","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-11-01,85
"61","Barking and Dagenham","E09000002","Robbery",2010-11-01,70
"62","Barking and Dagenham","E09000002","Sexual Offences",2010-11-01,15
"63","Barking and Dagenham","E09000002","Theft and Handling",2010-11-01,527
"64","Barking and Dagenham","E09000002","Violence Against the Person",2010-11-01,354
"65","Barking and Dagenham","E09000002","Arson and Criminal Damage",2010-12-01,155
"66","Barking and Dagenham","E09000002","Burglary",2010-12-01,154
"67","Barking and Dagenham","E09000002","Drug Offences",2010-12-01,39
"68","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2010-12-01,75
"69","Barking and Dagenham","E09000002","Robbery",2010-12-01,61
"70","Barking and Dagenham","E09000002","Sexual Offences",2010-12-01,20
"71","Barking and Dagenham","E09000002","Theft and Handling",2010-12-01,400
"72","Barking and Dagenham","E09000002","Violence Against the Person",2010-12-01,281
"73","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-01-01,185
"74","Barking and Dagenham","E09000002","Burglary",2011-01-01,214
"75","Barking and Dagenham","E09000002","Drug Offences",2011-01-01,67
"76","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-01-01,93
"77","Barking and Dagenham","E09000002","Robbery",2011-01-01,79
"78","Barking and Dagenham","E09000002","Sexual Offences",2011-01-01,29
"79","Barking and Dagenham","E09000002","Theft and Handling",2011-01-01,469
"80","Barking and Dagenham","E09000002","Violence Against the Person",2011-01-01,302
"81","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-02-01,175
"82","Barking and Dagenham","E09000002","Burglary",2011-02-01,173
"83","Barking and Dagenham","E09000002","Drug Offences",2011-02-01,57
"84","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-02-01,69
"85","Barking and Dagenham","E09000002","Robbery",2011-02-01,92
"86","Barking and Dagenham","E09000002","Sexual Offences",2011-02-01,16
"87","Barking and Dagenham","E09000002","Theft and Handling",2011-02-01,488
"88","Barking and Dagenham","E09000002","Violence Against the Person",2011-02-01,320
"89","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-03-01,196
"90","Barking and Dagenham","E09000002","Burglary",2011-03-01,219
"91","Barking and Dagenham","E09000002","Drug Offences",2011-03-01,78
"92","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-03-01,92
"93","Barking and Dagenham","E09000002","Robbery",2011-03-01,112
"94","Barking and Dagenham","E09000002","Sexual Offences",2011-03-01,27
"95","Barking and Dagenham","E09000002","Theft and Handling",2011-03-01,537
"96","Barking and Dagenham","E09000002","Violence Against the Person",2011-03-01,308
"97","Barking and Dagenham","E09000002","Arson and Criminal Damage",2011-04-01,207
"98","Barking and Dagenham","E09000002","Burglary",2011-04-01,205
"99","Barking and Dagenham","E09000002","Drug Offences",2011-04-01,83
"100","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2011-04-01,89
"101","Barking and Dagenham","E09000002","Robbery",2011-04-01,107
