"Area","Unem_WhiteUK_2014","Unem_WhitenotUK_2014","Unem_MinorUK_2014","Unem_MinornotUK_2014","EInActive_WhiteUK_2014","EInActive_WhitenotUK_2014","EInActive_MinorUK_2014","EInActive_MinornotUK_2014","Unem_rate_2014","Einactive_rate_2014"
"Barking and Dagenham",8.9,7,22.1,12.1,32.8,23.7,28.6,24.8,11.3938053097345,28.1803542673108
"Barnet",2.9,5.1,9.9,6.3,23.3,13,39.5,36,4.76700589180503,25.9428097803564
"Bexley",4,0,0,8.3,21.9,0,23.9,14.6,4.24489795918367,19.6261682242991
"Brent",4,0,12.1,8.6,18,19.6,27.4,32.8,6.35118306351183,26.6385767790262
"Bromley",5.6,0,0,5.3,21.3,19.8,28.1,12.5,4.56182472989196,20.7323107372588
"Camden",8,5.2,0,8.4,22.7,18.6,38.9,42.4,6.72064777327935,27.8886872353297
"Croydon",5.2,0,18,10.1,20.6,15.5,24.9,20.4,7.55195134313229,20.6185567010309
"Ealing",6.4,6.3,12,8.3,20.2,15.5,27.1,36.4,7.62614678899083,25.7595772787318
"Enfield",6.1,7.3,7.9,8.6,23,36.6,22.8,25.5,7.05580500320718,25.701839303001
"Greenwich",11.4,5.3,19.3,8.1,26.5,10.4,21.7,31.1,10.3698332124728,24.9301285634433
"Hackney",2.1,6.3,19,13.3,14.7,14.1,41.9,35.1,8.01952580195258,25.0265111346766
"Hammersmith and Fulham",3.5,9.3,0,4.2,16.2,14,26.1,30.4,5.05144995322732,19.2667706708268
"Haringey",5.2,6.6,15,12,22.2,19.8,35.6,31.9,8.19327731092437,25.7341163908169
"Harrow",0,0,12.7,6.9,17.6,17.4,34.6,24.6,4.70494417862839,23.3947870311507
"Havering",6.4,0,33.3,0,19.2,6.8,25.1,19.4,6.4291247095275,18.6735350933677
"Hillingdon",5.2,0,13.9,9.4,21.5,11.3,23.5,30.1,6.2992125984252,22.8764981761334
"Hounslow",5.4,0,16.7,7.7,20.6,16.8,21.6,21.4,6.42325895875592,20.2440377149196
"Islington",4.2,7.6,0,18.4,17.8,24,37.4,45.1,6.36583400483481,25.9803921568627
"Kensington and Chelsea",7.8,3,14.6,8.6,24.1,25.5,32.5,26.7,6.62721893491124,25.839552238806
"Kingston upon Thames",4.7,0,0,10,19.7,14.9,30.8,25.9,4.72527472527473,20.855614973262
"Lambeth",3.8,7.6,0,9.9,11.8,6.7,32.3,22,5.34313725490196,14.7195276254745
"Lewisham",2.8,7.9,7.7,6.4,21.2,14.3,19.5,26.7,5.22433927473878,20.9772951628825
"Merton",7.6,0,12.3,8.2,15.9,13.6,24.4,28.3,6.36200716845878,19.7954711468225
"Newham",0,8.6,16.5,9.8,32.8,25.4,39.2,32,9.54248366013072,32.6376554174067
"Redbridge",7.1,7.8,11.8,3.1,21.6,18.9,21.7,33,6.79676985195155,25.5005268703899
"Richmond upon Thames",5.2,0,13.5,0,17.9,12.9,26.7,21.2,3.37711069418387,17.7652733118971
"Southwark",3.5,5.7,17.9,18,15.2,15.9,34.7,25.6,9.03444381705251,20.6833712984055
"Sutton",4.5,0,0,7.3,14.6,21.2,40.1,23,4.55390334572491,18.0327868852459
"Tower Hamlets",6.9,0,16.5,13.7,15,13.5,25.5,35.2,9.7622027534418,23.6930455635492
"Waltham Forest",9.6,0,15,9.2,16.9,17.1,40.3,29.3,8.46715328467153,24.9020705092334
"Wandsworth",3.1,3.3,0,9,16.4,10.5,16.7,29.5,3.67216604576903,17.4652933273623
"Westminster",2.6,6.2,9.8,7.9,21,20.7,38.8,41.8,5.59105431309904,29.0419161676647
