"Area","Unem_WhiteUK_2011","Unem_WhitenotUK_2011","Unem_MinorUK_2011","Unem_MinornotUK_2011","EInActive_WhiteUK_2011","EInActive_WhitenotUK_2011","EInActive_MinorUK_2011","EInActive_MinornotUK_2011","Unem_rate_2011","Einactive_rate_2011"
"Barking and Dagenham",12,11.6,15.6,14.5,28.9,28.9,23.4,29.6,13.0536130536131,28.5834738617201
"Barnet",7.2,7.4,0,12.8,23.1,16.5,28.6,34,7.66283524904215,24.8925193465176
"Bexley",6,0,32.4,11,23.3,13.4,19,28.6,7.47176368375326,23.1190150478796
"Brent",10.4,4.9,23.5,12.7,34.5,24.7,34.6,30.1,12.2739018087855,30.7093821510297
"Bromley",4.4,0,0,12.6,21.8,12.4,21,29.4,4.7163798597833,22.0253164556962
"Camden",5.8,0,8.3,19.3,31.7,27.8,30.5,40.8,7.58556891766882,32.9663212435233
"Croydon",8.3,17.8,20.8,13.6,21.2,31.6,28,26.9,12.2371967654987,24.5621351125938
"Ealing",4.7,10,21,12.2,19,13.4,34.2,30.8,10.1925254813137,24.1016652059597
"Enfield",9.8,13.4,14.8,12.6,23,31.3,31.4,24.8,11.745406824147,26.1728395061728
"Greenwich",6.8,8.8,23.9,15.7,27.1,10.7,22.9,26.9,11.0188679245283,23.8875878220141
"Hackney",3.2,0,11.3,18.8,19.9,21.1,38.3,34.3,7.72727272727273,26.9058295964126
"Hammersmith and Fulham",7.6,4.1,22.9,7.5,20.5,26.3,42.6,43.9,7.47185261003071,28.1838733986436
"Haringey",6.3,10.4,17.7,16.7,17.3,24.4,32.9,38.2,10.8247422680412,26.2838210933186
"Harrow",7.6,0,5.2,7.8,17.4,15,17.9,27.5,6.40316205533597,21.455938697318
"Havering",7.9,0,0,0,20,0,16.9,25.5,6.43846780766096,19.5234943745864
"Hillingdon",6.7,0,14.8,12.3,21.7,21.9,27.5,27.9,7.85267546907575,23.773173391494
"Hounslow",5.6,3.4,13.6,8.5,16.5,20.3,26.1,28.5,6.9364161849711,22.0697541452258
"Islington",6.6,11.9,12,17.8,21.4,21.3,18.6,38.9,9.95744680851064,24.5418848167539
"Kensington and Chelsea",4.1,7.4,19.6,7.4,24,26.8,41.1,50.8,6.75,32.7433628318584
"Kingston upon Thames",7,6.8,0,14.6,25.1,19.4,21.1,34.4,8.00970873786408,26.0110294117647
"Lambeth",7,7.7,21.3,23.4,13.7,17.1,25.8,26.9,11.4162627894453,18.2020471740098
"Lewisham",8.7,7.5,10,9,27.6,20.9,18.8,29,8.87372013651877,25.9659969088099
"Merton",6.7,5.3,17.4,12,21.4,15.7,29.8,26.6,8.36431226765799,22.0913107511046
"Newham",15,6.7,25.2,15,34.4,16.5,48.5,34.7,15.5743481324877,35.5932203389831
"Redbridge",5,0,13.9,14.5,25.3,29.7,30.6,32.3,9.7542242703533,29.5604395604396
"Richmond upon Thames",3.2,0,32.4,0,21.8,16.5,29.7,34.4,3.43137254901961,22.4538893344026
"Southwark",8,3.2,26,19.6,23.3,18.6,39.9,34.7,12.0544394037589,27.9600570613409
"Sutton",6.5,0,0,16.5,20.7,22.6,0,18.9,7.48299319727891,19.7908286403862
"Tower Hamlets",7.2,8,28.2,17.7,18.9,14.4,41.8,40.6,13.5632183908046,30.5139186295503
"Waltham Forest",9.8,14.9,12.2,9.2,20.9,11.7,21.2,34.8,10.8932461873638,23.5694050991501
"Wandsworth",5.3,5.6,16.2,15,19.1,7.8,19.6,37.2,7.37527114967462,18.8140882746322
"Westminster",5.2,6.6,16.1,7.3,23.8,25.4,40.3,42.1,6.99912510936133,32.0273631840796
