"","Borough","GSS_Code","MajorText","Date","count_by_borough"
"1","Barking and Dagenham","E09000002","Burglary",2015-01-01,182
"2","Barking and Dagenham","E09000002","Criminal Damage",2015-01-01,121
"3","Barking and Dagenham","E09000002","Drugs",2015-01-01,85
"4","Barking and Dagenham","E09000002","Fraud or Forgery",2015-01-01,2
"5","Barking and Dagenham","E09000002","Other Notifiable Offences",2015-01-01,20
"6","Barking and Dagenham","E09000002","Robbery",2015-01-01,51
"7","Barking and Dagenham","E09000002","Sexual Offences",2015-01-01,37
"8","Barking and Dagenham","E09000002","Theft and Handling",2015-01-01,343
"9","Barking and Dagenham","E09000002","Violence Against The Person",2015-01-01,428
"10","Barking and Dagenham","E09000002","Burglary",2015-02-01,138
"11","Barking and Dagenham","E09000002","Criminal Damage",2015-02-01,123
"12","Barking and Dagenham","E09000002","Drugs",2015-02-01,74
"13","Barking and Dagenham","E09000002","Fraud or Forgery",2015-02-01,0
"14","Barking and Dagenham","E09000002","Other Notifiable Offences",2015-02-01,26
"15","Barking and Dagenham","E09000002","Robbery",2015-02-01,37
"16","Barking and Dagenham","E09000002","Sexual Offences",2015-02-01,33
"17","Barking and Dagenham","E09000002","Theft and Handling",2015-02-01,382
"18","Barking and Dagenham","E09000002","Violence Against The Person",2015-02-01,376
"19","Barking and Dagenham","E09000002","Burglary",2015-03-01,169
"20","Barking and Dagenham","E09000002","Criminal Damage",2015-03-01,162
"21","Barking and Dagenham","E09000002","Drugs",2015-03-01,77
"22","Barking and Dagenham","E09000002","Fraud or Forgery",2015-03-01,1
"23","Barking and Dagenham","E09000002","Other Notifiable Offences",2015-03-01,36
"24","Barking and Dagenham","E09000002","Robbery",2015-03-01,46
"25","Barking and Dagenham","E09000002","Sexual Offences",2015-03-01,45
"26","Barking and Dagenham","E09000002","Theft and Handling",2015-03-01,446
"27","Barking and Dagenham","E09000002","Violence Against The Person",2015-03-01,524
"28","Barking and Dagenham","E09000002","Burglary",2015-04-01,106
"29","Barking and Dagenham","E09000002","Criminal Damage",2015-04-01,143
"30","Barking and Dagenham","E09000002","Drugs",2015-04-01,74
"31","Barking and Dagenham","E09000002","Fraud or Forgery",2015-04-01,4
"32","Barking and Dagenham","E09000002","Other Notifiable Offences",2015-04-01,22
"33","Barking and Dagenham","E09000002","Robbery",2015-04-01,42
"34","Barking and Dagenham","E09000002","Sexual Offences",2015-04-01,23
"35","Barking and Dagenham","E09000002","Theft and Handling",2015-04-01,428
"36","Barking and Dagenham","E09000002","Violence Against The Person",2015-04-01,467
"37","Barking and Dagenham","E09000002","Burglary",2015-05-01,100
"38","Barking and Dagenham","E09000002","Criminal Damage",2015-05-01,187
"39","Barking and Dagenham","E09000002","Drugs",2015-05-01,85
"40","Barking and Dagenham","E09000002","Fraud or Forgery",2015-05-01,1
"41","Barking and Dagenham","E09000002","Other Notifiable Offences",2015-05-01,30
"42","Barking and Dagenham","E09000002","Robbery",2015-05-01,51
"43","Barking and Dagenham","E09000002","Sexual Offences",2015-05-01,29
"44","Barking and Dagenham","E09000002","Theft and Handling",2015-05-01,435
"45","Barking and Dagenham","E09000002","Violence Against The Person",2015-05-01,549
"46","Barking and Dagenham","E09000002","Burglary",2015-06-01,94
"47","Barking and Dagenham","E09000002","Criminal Damage",2015-06-01,145
"48","Barking and Dagenham","E09000002","Drugs",2015-06-01,95
"49","Barking and Dagenham","E09000002","Fraud or Forgery",2015-06-01,3
"50","Barking and Dagenham","E09000002","Other Notifiable Offences",2015-06-01,25
