"Area","Unem_WhiteUK_2015","Unem_WhitenotUK_2015","Unem_MinorUK_2015","Unem_MinornotUK_2015","EInActive_WhiteUK_2015","EInActive_WhitenotUK_2015","EInActive_MinorUK_2015","EInActive_MinornotUK_2015","Unem_rate_2015","Einactive_rate_2015"
"Barking and Dagenham",9,0,10.1,16.1,24.7,23.9,29.7,26.5,10.4384133611691,26.0220125786164
"Barnet",7.2,3.4,17.8,10.9,21,24.1,23.5,33.7,8.39813374805599,24.7325102880658
"Bexley",7.4,14.8,0,0,18.5,11.2,28.8,18.8,6.7246835443038,18.4036939313984
"Brent",0,5.7,16,7.3,17.2,16.7,25.3,30.3,7.09219858156028,24.7123791992637
"Bromley",4.2,5.2,16.6,4.5,20.6,10,25,24.5,5.17857142857143,20.1684836471754
"Camden",2.6,0,10.9,6.8,24.4,20.4,39.3,36.2,3.46729708431836,27.9193835210433
"Croydon",2.1,0,6.8,6.3,22.3,15.9,19.1,23.8,3.56246864024084,21.3528932355338
"Ealing",3.3,2.5,6.9,10,16.8,14,21.4,33,5.73496659242762,22.4955277280859
"Enfield",3.3,0,0,6.8,18.9,32,31.2,23.6,3.26018808777429,24.3608297153883
"Greenwich",7.4,0,21.7,8.1,19.1,14.2,29.6,26.9,7.42741390952059,21.3513513513514
"Hackney",3.8,6,10.4,6.3,17.8,22.4,29.5,41.5,5.89050589050589,26.6012396694215
"Hammersmith and Fulham",3.7,3.5,11.8,5.6,18.2,12.8,29,22.8,4.73484848484848,18.882769472856
"Haringey",1.6,4.2,10.3,12.7,19.4,17.2,30.8,36.8,5.51075268817204,24.2424242424242
"Harrow",3.2,0,5.1,6.4,15,20.2,24.8,26.9,4.29936305732484,22.5190839694656
"Havering",5.1,0,0,10.7,20,18.3,12.8,19.8,4.76190476190476,19.4964493221433
"Hillingdon",4.6,0,13.4,5.9,22.8,11.7,22.5,24.9,5.61941251596424,22.3355430902601
"Hounslow",5.3,0,11.8,2.9,21.1,14,22.5,26.9,4.29065743944637,22.376457523598
"Islington",2.8,2.9,11.7,6.6,17.8,17.1,26.1,40.7,4.48328267477204,23.6061684460261
"Kensington and Chelsea",2.5,2.4,12.1,6.6,28.1,26.6,27.1,32.5,4.1820418204182,28.5581395348837
"Kingston upon Thames",4.4,4.6,0,4.3,20.6,16.7,25,33.1,3.28227571115974,22.4364592462752
"Lambeth",5.1,3.6,9.8,0,13.2,6.3,33.3,22.8,4.46516192345437,16.1684210526316
"Lewisham",4.6,10.6,5.9,4.4,17.3,24.7,20.9,18.6,5.68581477139508,19.4898941289702
"Merton",2.9,4.4,0,11.4,15,12.9,19.9,27.1,4.4463818657367,17.5566934893928
"Newham",10.4,3.1,14.3,9.2,17.6,20.5,36,29.8,8.95698291101944,27.2258064516129
"Redbridge",4.4,0,22.1,4.4,18.1,23.9,26.5,31.3,7.55225893459204,25.5717255717256
"Richmond upon Thames",4.3,4.2,0,0,19,9.6,27.7,18.4,3.68620037807183,17.440912795436
"Southwark",3.7,4.1,22.7,7.4,17.4,11.8,27.9,21.3,7.63400108283703,19.375
"Sutton",5.6,7.5,0,5.2,17.6,14.3,25.1,15.8,5.50045085662759,17.4517374517375
"Tower Hamlets",5.9,4.6,12.7,11.3,16,6.8,19.6,37.2,8.89679715302491,22.4489795918367
"Waltham Forest",5.1,0,8.6,7.9,11.9,18.5,26.3,37.5,5.32212885154062,22.6105953031131
"Wandsworth",2.9,5.7,16.8,10.7,14,12.6,19.2,30.9,5.69522832221652,16.7106420404573
"Westminster",8.9,6.5,26.9,7.1,18.4,16.7,49,38,8.8074824629774,27.2513243084167
